商品名称,合约代码,名次,期货公司会员简称,成交量,比上交易日增减,期货公司会员简称,成交量,比上交易日增减,期货公司会员简称,成交量,比上交易日增减,
铝                  ,al1806                        ,13,铜冠金源  ,901,213,中银国际  ,1376,267,大地期货  ,1290,33,
铝                  ,al1806                        ,14,五矿经易  ,746,375,国海良时  ,1365,-1062,华泰期货  ,1003,-134,
铝                  ,al1806                        ,15,金瑞期货  ,703,374,光大期货  ,1122,-227,国信期货  ,806,-75,
铝                  ,al1806                        ,16,中融汇信  ,594,247,国投安信  ,979,-280,德盛期货  ,764,0,
铝                  ,al1806                        ,17,首创期货  ,570,116,一德期货  ,919,-95,铜冠金源  ,745,-51,
铝                  ,al1806                        ,18,光大期货  ,527,-267,中国国际  ,911,-68,华安期货  ,636,0,
铝                  ,al1806                        ,19,方正中期  ,508,57,国泰君安  ,751,-994,东吴期货  ,607,0,
铝                  ,al1806                        ,20,招商期货  ,406,69,大地期货  ,717,-3,先融期货  ,560,0,
铝                  ,al1807                        ,1,海通期货  ,22688,5506,中信期货  ,9567,-2049,华信期货  ,11404,-217,
铝                  ,al1807                        ,2,中信期货  ,13943,5706,国信期货  ,6547,115,中信期货  ,10885,538,
铝                  ,al1807                        ,3,鲁证期货  ,6513,1161,海通期货  ,5307,214,中粮期货  ,10519,91,
铝                  ,al1807                        ,4,中融汇信  ,6108,576,南华期货  ,4937,57,中国国际  ,9681,-162,
铝                  ,al1807                        ,5,国投安信  ,5811,1420,广发期货  ,4784,-83,云晨期货  ,6516,-338,
铝                  ,al1807                        ,6,中辉期货  ,4215,940,永安期货  ,4138,-289,国贸期货  ,4973,222,
铝                  ,al1807                        ,7,东证期货  ,4200,-2212,英大期货  ,3775,-63,永安期货  ,4783,2,
铝                  ,al1807                        ,8,华鑫期货  ,3966,1437,金瑞期货  ,3709,169,国投安信  ,4412,18,
铝                  ,al1807                        ,9,五矿经易  ,3945,2741,建信期货  ,3604,-507,华泰期货  ,4072,-731,
铝                  ,al1807                        ,10,国海良时  ,3705,2099,方正中期  ,3499,-166,一德期货  ,3977,-344,
铝                  ,al1807                        ,11,兴证期货  ,3313,274,华泰期货  ,3275,62,上海中期  ,3631,-14,
铝                  ,al1807                        ,12,同信久恒  ,3256,141,国泰君安  ,3223,937,海通期货  ,2708,692,
铝                  ,al1807                        ,13,华泰期货  ,3197,218,国海良时  ,3151,2289,广发期货  ,2324,-118,
铝                  ,al1807                        ,14,中信建投  ,2964,71,中辉期货  ,3149,390,迈科期货  ,2211,-386,
铝                  ,al1807                        ,15,国泰君安  ,2669,-187,五矿经易  ,3068,-3200,兴证期货  ,2133,30,
铝                  ,al1807                        ,16,铜冠金源  ,2571,1307,迈科期货  ,3012,174,中银国际  ,2001,-9,
铝                  ,al1807                        ,17,中银国际  ,2529,-1462,国投安信  ,2614,-97,鲁证期货  ,1970,-99,
铝                  ,al1807                        ,18,广州期货  ,2348,1981,鲁证期货  ,2498,-108,光大期货  ,1943,-147,
铝                  ,al1807                        ,19,迈科期货  ,2130,-1072,兴证期货  ,2197,-493,方正中期  ,1901,276,
铝                  ,al1807                        ,20,方正中期  ,1962,515,通惠期货  ,1832,0,建信期货  ,1883,-750,
铝                  ,al1808                        ,1,海通期货  ,6948,1831,国信期货  ,11142,132,中信期货  ,5673,761,
铝                  ,al1808                        ,2,中辉期货  ,4620,764,中信期货  ,9959,13,永安期货  ,4450,843,
铝                  ,al1808                        ,3,中信期货  ,4594,1527,建信期货  ,4873,-1,华信期货  ,4299,-33,
铝                  ,al1808                        ,4,鲁证期货  ,3603,816,格林大华  ,3376,-18,中国国际  ,4287,-959,
铝                  ,al1808                        ,5,上海中期  ,3357,2548,方正中期  ,2891,407,中粮期货  ,3836,21,
铝                  ,al1808                        ,6,国投安信  ,3041,1278,金瑞期货  ,2574,35,迈科期货  ,3568,371,
铝                  ,al1808                        ,7,申万期货  ,2604,490,永安期货  ,2324,331,云晨期货  ,3213,0,
铝                  ,al1808                        ,8,永安期货  ,2124,1244,中粮期货  ,2215,-14,广发期货  ,3060,57,
铝                  ,al1808                        ,9,中银国际  ,1714,426,上海中期  ,2201,-1579,华泰期货  ,2980,29,
铝                  ,al1808                        ,10,迈科期货  ,1629,604,广发期货  ,2111,10,首创期货  ,2835,69,
铝                  ,al1808                        ,11,华泰期货  ,1538,421,国投安信  ,1991,282,一德期货  ,2481,528,
铝                  ,al1808                        ,12,东证期货  ,1481,-1357,英大期货  ,1986,89,格林大华  ,2348,-23,
铝                  ,al1808                        ,13,中信建投  ,1393,-821,海通期货  ,1792,42,建信期货  ,2062,47,
铝                  ,al1808                        ,14,宝城期货  ,1068,386,兴证期货  ,1606,-54,鲁证期货  ,1896,136,
铝                  ,al1808                        ,15,国海良时  ,1020,780,五矿经易  ,1455,558,金瑞期货  ,1883,219,
铝                  ,al1808                        ,16,中国国际  ,1016,467,南华期货  ,1376,5,五矿经易  ,1757,21,
铝                  ,al1808                        ,17,中融汇信  ,974,267,申万期货  ,1332,401,海通期货  ,1731,494,
铝                  ,al1808                        ,18,宏源期货  ,919,424,华泰期货  ,1252,-373,国信期货  ,1494,-6,
铝                  ,al1808                        ,19,华鑫期货  ,854,91,信达期货  ,1079,91,国贸期货  ,1479,0,
铝                  ,al1808                        ,20,铜冠金源  ,833,166,迈科期货  ,927,312,兴证期货  ,1460,71,
铝                  ,al1809                        ,1,五矿经易  ,3329,3276,国信期货  ,11218,-1,首创期货  ,5913,64,
